WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
C103550140503,Fic Non Fic Pic,14/2/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780230766334,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,356,
C103608154128,Picador,14/2/2025,,No,No,,Acquired,Picador,Picador Editor,9781447200352,Book,New Edit/Cover,Paperback,B Format,Paperback,,192,
C102761123207,Picador,14/2/2025,,No,No,,Acquired,Picador,Picador Editor,9781447200383,Book,Main Market Ed.,Paperback,B Format,Paperback,,224,
C103285145412,Picador,28/2/2025,,No,No,,Acquired,Picador,Picador Editor,9781447238102,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,96,
C103128094906,Fic Non Fic Pic,28/2/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447221173,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,320,
C100562162646,Mantle,28/2/2025,,No,No,,Acquired,Pan,Pan Editor,9781447208273,Book,New Edit/Cover,Paperback,B Format,Paperback,,128,
C103632140216,Presch Brand&Cl,28/2/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447210948,Book,Main Market Ed.,Paperback,Other,Paperback,,32,
C103024115219,Picador,28/2/2025,,No,No,,Acquired,Picador,Picador Editor,9781447214793,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,256,
C102340132015,Bluebird,28/2/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9780230771635,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,272,
C101478145532,Picador,28/2/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9781447246787,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
2146,Picador,7/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447243779,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,654,
8934,Gen Non-Fiction,7/3/2025,,No,No,,Acquired,Pan,Pan Editor,9781447241010,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,264,
C103052160552,Fic Non Fic Pic,7/3/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447213833,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,288,
2343,Gen Non-Fiction,7/3/2025,,No,No,,Acquired,Pan,Pan Editor,9780330469784,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,360,
C102120122518,Mantle,14/3/2025,,No,No,,Acquired,Mantle,Mantle Editor,9780230765924,EBook,Ebook,,,Dig Ed Adobe,On Demand,336,
C103081100402,Macmillan Bus,14/3/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447218821,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,324,
C102955123810,Picador,14/3/2025,,No,No,,Acquired,Picador,Picador Editor,9781447213369,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,256,
C103247153603,Mantle,14/3/2025,,No,No,,Acquired,Mantle,Mantle Editor,9781447228752,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,224,
C102880111034,Macmillan Bus,14/3/2025,Announcement planned,No,No,,Acquired,Macmillan,Macmillan Editor,9780230761377,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,192,
C102880111034,Macmillan Bus,14/3/2025,Announcement planned,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9780230763425,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103214162900,Fic Non Fic Pic,14/3/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447226116,Book,Main Market Ed.,Paperback,B Format,Paperback,,128,
C103214161153,Fic Non Fic Pic,14/3/2025,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781447245469,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,304,
C103235141118,Fic Non Fic Pic,14/3/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9780230769786,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103235141118,Fic Non Fic Pic,14/3/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447245506,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,160,
C103317155755,Fic Non Fic Pic,14/3/2025,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781447247760,EBook,Ebook,,epub,Dig Ed Adobe,£0.99 fixed,96,
