WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
56686,Tor,27/5/2033,,Yes,No,,Acquired,Tor,Tor Editor,9781529051919,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,576,
57120,Presch Brand&Cl,27/5/2033,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781529060720,Book,Main Market Ed.,Board Book,Other,Novelty,,10,
56006,Picador,27/5/2033,,No,No,,Acquired,Picador,Picador Editor,9781529030143,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,432,
56168,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529033359,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,320,
56168,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529033335,Book,Main Market Ed.,Hardback,Demy,Hardback,,304,
56686,Tor,27/5/2033,,Yes,No,,Acquired,Tor,Tor Editor,9781529051889,Book,Main Market Ed.,Hardback,Royal,Hardback,,560,
57257,Macmillan Bus,27/5/2033,,No,No,,Acquired,Pan,Pan Editor,9781529048841,Book,Main Market Ed.,Paperback,B Format,Paperback,,,
53398,Bluebird,27/5/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781509884759,Book,Main Market Ed.,Trade Paperback,Royal,Trade PB,,288,
57226,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,,9781529073126,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB High,304,
56665,Mantle,27/5/2033,,No,No,,Acquired,Mantle,Mantle Editor,9781529038644,Book,Main Market Ed.,Hardback,Demy,Hardback,,480,
58007,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529068177,Book,Main Market Ed.,Trade Paperback,Other,Paperback,,224,
56662,Picador,27/5/2033,,No,No,,Acquired,Picador,Picador Editor,9781529039634,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,272,
54410,Picador,27/5/2033,,Yes,No,,Acquired,Picador,Picador Editor,9781509882946,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
54141,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781509868322,Book,Main Market Ed.,Paperback,250 x 280,Paperback,,32,
58007,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,,9781529073294,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
57226,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529047905,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
56796,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529041279,Book,Main Market Ed.,Paperback,Other,Paperback,,32,
53398,Bluebird,27/5/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781509884773,EBook,Ebook,,epub,E-Books,Non-Fiction High,320,
57173,Presch Brand&Cl,27/5/2033,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781529052329,Book,Main Market Ed.,Board Book,180 x 180,Novelty,,10,
56665,Mantle,27/5/2033,,No,No,,Acquired,Mantle,Mantle Editor,9781529038668,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,480,
56662,Picador,27/5/2033,,No,No,,Acquired,Picador,Picador Editor,9781529039641,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
56662,Picador,27/5/2033,,No,No,,Acquired,Picador,Picador Editor,9781529039610,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,272,
56168,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529033366,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
56958,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529047912,EBook,Ebook,,epub,Paperback,MCB High,416,
56796,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529057980,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
54141,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529041347,Mixed Media Product,Main Market Ed.,Paperback,250 x 280,Packs,,32,
55440,Picador,27/5/2033,,No,No,,Acquired,Picador,Picador Editor,9781529009989,Book,Main Market Ed.,Paperback,B Format,Paperback,,416,
54410,Picador,27/5/2033,,Yes,No,,Acquired,Picador,Picador Editor,9781509882922,EBook,Ebook,,epub,E-Books,Non-Fiction High,320,
55597,Picador,27/5/2033,,No,No,,Acquired,Picador,Picador Editor,9781529014280,Book,Open Market,Paperback,B Format,Paperback,,320,
56958,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781509899999,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
54077,Picador,27/5/2033,,No,No,,Acquired,Picador,Picador Editor,9781509873180,Book,Main Market Ed.,Paperback,B Format,Paperback,,448,
57300,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529058048,Book,Main Market Ed.,Paperback,B Format,Paperback,,128,
56006,Picador,27/5/2033,,No,No,,Acquired,Picador,Picador Editor,9781529030150,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,432,
57958,Bluebird,27/5/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781509881833,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
53398,Bluebird,27/5/2033,,No,No,,Acquired,Bluebird,,9781529059663,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
57300,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529058055,EBook,Ebook,,epub,E-Books,MCB Low,128,
52602,Presch Brand&Cl,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529045758,Book,New Edit/Cover,Board Book,Other,Hardback,,10,
56686,Tor,27/5/2033,,Yes,No,,Acquired,Tor,Tor Editor,9781529051926,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
56796,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529041286,Book,Main Market Ed.,Hardback,Other,Hardback,,32,
C102351163820,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529016086,Book,Main Market Ed.,Paperback,280 x 224,Paperback,,32,
58007,Fic Non Fic Pic,27/5/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529068191,EBook,Ebook,,epub,E-Books,£3.99 fixed,240,
63065,Priddy Books,1/6/2033,,No,No,,No Head Contract Required,Priddy Books,Priddy Books Editor,9781838991289,Book,Main Market Ed.,Board Book,Other,Hardback,,10,
63051,Priddy Books,1/6/2033,,No,No,,Acquired,Priddy Books,Priddy Books Editor,9781838991128,Book,Main Market Ed.,Board Book,150mm x 120mm,Hardback,,24,
63064,Priddy Books,1/6/2033,,No,No,,No Head Contract Required,Priddy Books,Priddy Books Editor,9781838991272,Book,Main Market Ed.,Board Book,Other,Hardback,,10,
57575,Macmillan Bus,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529060171,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
55500,Tor,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529016949,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,432,
C101976145544,Mantle,10/6/2033,,No,No,,Acquired,Pan,Pan Editor,9781529049466,Book,New Edit/Cover,Paperback,B Format,Paperback,,592,
57575,Macmillan Bus,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529060140,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,336,
56958,Fic Non Fic Pic,10/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529069198,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
58078,Bluebird,10/6/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529073973,EBook,Ebook,,epub,E-Books,Non-Fiction High,208,
55500,Tor,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529016963,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,432,
5887,Mantle,10/6/2033,,No,No,,Acquired,Pan,Pan Editor,9781529049435,Book,New Edit/Cover,Paperback,B Format,Paperback,,624,
57147,Presch Brand&Cl,10/6/2033,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781529058727,Book,Main Market Ed.,Board Book,180 x 180,Novelty,,10,
56776,Gen Non-Fiction,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529042160,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,320,
56925,Fic Non Fic Pic,10/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529043037,EBook,Ebook,,epub,E-Books,MCB Low,,
55793,Picador,10/6/2033,,No,No,,Acquired,Picador,,9781529023091,Audio Digital Download,Main Market Ed.,,WAV format,Compact Disc,,,
57008,Presch Brand&Cl,10/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529044096,Book,Main Market Ed.,Board Book,180 x 180,Novelty,,10,
55666,Bluebird,10/6/2033,,Yes,No,,Acquired,Bluebird,Bluebird Editor,9781529016314,Book,Main Market Ed.,Hardback,Crown Quarto,Hardback,,240,
55509,Bluebird,10/6/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529013702,Book,Main Market Ed.,Paperback,B Format,Trade PB,,336,
12242,Mantle,10/6/2033,,No,No,,Acquired,Pan,Pan Editor,9781529049428,Book,Main Market Ed.,Paperback,B Format,Paperback,,656,
C103629115313,Fic Non Fic Pic,10/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529043006,Book,Main Market Ed.,Paperback,B Format,Paperback,,208,
15957,Mantle,10/6/2033,,No,No,,Acquired,Pan,Pan Editor,9781529049459,Book,New Edit/Cover,Paperback,B Format,Paperback,,512,
C103200113729,Fic Non Fic Pic,10/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529043013,Book,Main Market Ed.,Paperback,B Format,Paperback,,96,
56976,Presch Brand&Cl,10/6/2033,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781529058710,Book,Main Market Ed.,Board Book,180 x 180,Novelty,,10,
55500,Tor,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529016970,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
57798,Fic Non Fic Pic,10/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529063851,Book,Main Market Ed.,Paperback,B Format,Paperback,,208,
56602,Gen Non-Fiction,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529040029,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
54486,Gen Non-Fiction,10/6/2033,,Yes,No,,Acquired,Pan,Pan Editor,9781509886043,Book,Main Market Ed.,Paperback,B Format,Paperback,,320,
55666,Bluebird,10/6/2033,,Yes,No,,Acquired,Bluebird,Bluebird Editor,9781529016321,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,240,
50861,Picador,10/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529065602,Book,New Edit/Cover,Paperback,B Format,Paperback,,640,
53444,Fic Non Fic Pic,10/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781509874255,EBook,Ebook,,epub,E-Books,MCB Low,256,
57227,Two Hoots,10/6/2033,,No,No,,Acquired,Two Hoots,,9781529051247,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
57201,Tor,10/6/2033,,No,No,,Acquired,Tor,Tor Editor,9781529049985,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,448,
56776,Gen Non-Fiction,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529042184,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
57227,Two Hoots,10/6/2033,,No,No,,Acquired,Two Hoots,Two Hoots Editor,9781529049022,Book,Main Market Ed.,Hardback,280 x 230,Hardback,,32,
56925,Fic Non Fic Pic,10/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529043020,Book,Main Market Ed.,Paperback,B Format,Paperback,,,
57201,Tor,10/6/2033,,No,No,,Acquired,Tor,Tor Editor,9781529050004,EBook,Ebook,,epub,E-Books,Fiction High,400,
57201,Tor,10/6/2033,,No,No,,Acquired,Tor,Tor Editor,9781529050011,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
55793,Picador,10/6/2033,,No,No,,Acquired,Picador,,9781529023084,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,320,
57415,Bluebird,10/6/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529053920,Book,Main Market Ed.,Hardback,Royal,Hardback,,336,
54800,Picador,10/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781509898305,EBook,Ebook,,epub,E-Books,Fiction High,176,
58078,Bluebird,10/6/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529073966,Book,Main Market Ed.,Hardback,Other,Hardback,,192,
52914,Tor,10/6/2033,,No,No,,Acquired,Pan,Pan Editor,9781509844661,Book,Main Market Ed.,Paperback,B Format,Paperback,,528,
53444,Fic Non Fic Pic,10/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781509874248,Book,Main Market Ed.,Paperback,B Format,Paperback,,416,
57575,Macmillan Bus,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529060164,EBook,Ebook,,epub,E-Books,Non-Fiction High,288,
57798,Fic Non Fic Pic,10/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529063868,EBook,Ebook,,epub,E-Books,MCB Low,208,
57415,Bluebird,10/6/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529053944,EBook,Ebook,,epub,E-Books,Non-Fiction High,336,
57575,Macmillan Bus,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529060133,Book,Main Market Ed.,Hardback,Demy,Hardback,,336,
C103744165650,Mantle,10/6/2033,,No,No,,Acquired,Pan,Pan Editor,9781447265887,Book,Main Market Ed.,Paperback,B Format,Paperback,,320,
55500,Tor,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529016932,Book,Main Market Ed.,Hardback,Royal,Hardback,,432,
55249,Picador,10/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529004885,Book,Main Market Ed.,Paperback,B Format,Paperback,,400,
56776,Gen Non-Fiction,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781529042153,Book,Main Market Ed.,Hardback,Royal,Hardback,,336,
54801,Picador,10/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529074413,Book,Main Market Ed.,Paperback,B Format,Paperback,,432,
50916,Tor,10/6/2033,,No,No,,Acquired,Macmillan,Macmillan Editor,9781509800025,EBook,Ebook,,epub,E-Books,Fiction Low,400,
57399,Bluebird,24/6/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529053876,Book,Main Market Ed.,Hardback,Royal,Hardback,,272,
52373,Picador,24/6/2033,,No,No,,Acquired,Picador,,9781529089462,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
55844,Picador,24/6/2033,,Yes,No,,Acquired,Picador,Picador Editor,9781529030792,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,324,
55844,Picador,24/6/2033,,Yes,No,,Acquired,Picador,Picador Editor,9781529030785,Book,Air Iri OME,Trade Paperback,Royal,Trade PB,,352,
56308,Picador,24/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529035858,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
57870,Fic Non Fic Pic,24/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529070675,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,288,
C103293151703,Tor,24/6/2033,,No,No,,Acquired,Pan,Pan Editor,9781529059168,Book,Main Market Ed.,Paperback,B Format,Paperback,,704,
57823,Picador,24/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529064834,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
53442,Fic Non Fic Pic,24/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781509848584,Book,Main Market Ed.,Paperback,280 x 224,Paperback,,32,
54707,Fic Non Fic Pic,24/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529007503,Book,Main Market Ed.,Hardback,Other,Hardback,,320,
53628,Picador,24/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781509853984,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
56942,Collectors Lib,24/6/2033,,Yes,No,,No Head Contract Required,Macmillan Collector's Library,Macmillan Collector's Library Editor,9781529045611,EBook,Ebook,,epub,Dig Ed Adobe,£4.99 fixed,368,
57399,Bluebird,24/6/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529053906,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
56773,Collectors Lib,24/6/2033,,No,No,,No Head Contract Required,Macmillan Collector's Library,Macmillan Collector's Library Editor,9781529042320,Book,Main Market Ed.,Hardback,MCL Standard,Hardback,,240,
57870,Fic Non Fic Pic,24/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529070682,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
55992,Picador,24/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529023756,Book,Main Market Ed.,Paperback,B Format,Paperback,,384,
55844,Picador,24/6/2033,,Yes,No,,Acquired,Picador,Picador Editor,9781529030778,Book,Main Market Ed.,Hardback,Royal,Hardback,,352,
56942,Collectors Lib,24/6/2033,,Yes,No,,No Head Contract Required,Macmillan Collector's Library,Macmillan Collector's Library Editor,9781529045604,Book,Main Market Ed.,Hardback,MCL Standard,Hardback,,288,
53628,Picador,24/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781509853977,EBook,Ebook,,epub,E-Books,Fiction High,368,
56128,Tor,24/6/2033,,No,No,,Acquired,Tor,Tor Editor,9781529030310,Book,Main Market Ed.,Hardback,Royal,Hardback,,464,
56128,Tor,24/6/2033,,No,No,,Acquired,Tor,Tor Editor,9781529030341,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,464,
53442,Fic Non Fic Pic,24/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529057997,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
57045,Two Hoots,24/6/2033,,No,No,,Acquired,Two Hoots,Two Hoots Editor,9781529048681,Book,Main Market Ed.,Hardback,Other,Hardback,,32,
56309,Picador,24/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529035933,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,224,
57501,Presch Brand&Cl,24/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529060621,Book,Main Market Ed.,Paperback,250 x 250,Paperback,,24,
56773,Collectors Lib,24/6/2033,,No,No,,No Head Contract Required,Macmillan Collector's Library,Macmillan Collector's Library Editor,9781529042337,EBook,Ebook,,epub,Dig Ed Adobe,£2.99 fixed,240,
C103293161030,Tor,24/6/2033,,Yes,No,,Acquired,Pan,Pan Editor,9781529059175,Book,Main Market Ed.,Paperback,B Format,Paperback,,784,
55547,Fic Non Fic Pic,24/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529012187,Book,Main Market Ed.,Hardback,280 x 250,Hardback,,32,
56409,Picador,24/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529035476,Book,Main Market Ed.,Paperback,B Format,Paperback,,208,
57399,Bluebird,24/6/2033,,No,No,,Acquired,Bluebird,Bluebird Editor,9781529053890,EBook,Ebook,,epub,E-Books,Non-Fiction Low,256,
57045,Two Hoots,24/6/2033,,No,No,,Acquired,Two Hoots,,9781529048704,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB Low,32,
56189,Picador,24/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529031003,Book,Main Market Ed.,Paperback,B Format,Paperback,,544,
57823,Picador,24/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529064827,EBook,Ebook,,epub,E-Books,Fiction High,288,
57360,Presch Brand&Cl,24/6/2033,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781529057935,Book,Main Market Ed.,Hardback,Other,Hardback,,256,
57870,Fic Non Fic Pic,24/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529070668,Book,Main Market Ed.,Paperback,B Format,Paperback,,304,
56873,Picador,24/6/2033,,No,No,,Acquired,Picador,Picador Editor,9781529042382,Book,Main Market Ed.,Paperback,B Format,Paperback,,176,
54707,Fic Non Fic Pic,24/6/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529007480,EBook,Ebook,,"EPUB3, Fixed",E-Books,MCB High,320,
56379,Fic Non Fic Pic,6/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529039894,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,592,
56379,Fic Non Fic Pic,6/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529039900,Book,Main Market Ed.,Hardback,B Format,Hardback,,592,
56379,Fic Non Fic Pic,6/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529039924,Book,Open Market,Paperback,B Format,Paperback,,592,
56379,Fic Non Fic Pic,6/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529039931,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
63029,Priddy Books,6/7/2033,,No,No,,No Head Contract Required,Priddy Books,Priddy Books Editor,9781838990930,Book,Main Market Ed.,Board Book,Other,Hardback,,14,
53820,Gen Non-Fiction,8/7/2033,,No,No,,Acquired,Pan,Pan Editor,9781509860524,Book,Main Market Ed.,Paperback,B Format,Paperback,,320,
56283,Picador,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529030969,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
55284,Fic Non Fic Pic,8/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529010978,Book,Main Market Ed.,Paperback,B Format,Paperback,,304,
58263,Picador,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529078459,Book,Main Market Ed.,Trade Paperback,S format,Trade PB,,112,
56963,Fic Non Fic Pic,8/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529045055,Book,Main Market Ed.,Paperback,B Format,Paperback,,288,
55844,Picador,8/7/2033,,Yes,No,,Acquired,Picador,Picador Editor,9781529030808,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
57164,Presch Brand&Cl,8/7/2033,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9781529053050,Book,Main Market Ed.,Board Book,180 x 180,Novelty,,10,
52428,Tor,8/7/2033,,No,No,,Acquired,Tor,Tor Editor,9781509823000,Book,Main Market Ed.,Hardback,Royal,Hardback,,752,
55284,Fic Non Fic Pic,8/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529010992,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,224,
56283,Picador,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529030952,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,288,
56680,Picador,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529045574,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
56009,Mantle,8/7/2033,,No,No,,Acquired,Mantle,Mantle Editor,9781529025071,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
56009,Mantle,8/7/2033,,No,No,,Acquired,Mantle,Mantle Editor,9781529025040,Book,Aus. N.Z.,Trade Paperback,Royal,Trade PB,,368,
56750,Mantle,8/7/2033,,No,No,,Acquired,Pan,Pan Editor,9781529039405,Book,Main Market Ed.,Paperback,B Format,Paperback,,336,
55814,Mantle,8/7/2033,,No,No,,Acquired,Pan,Pan Editor,9781529019070,Book,Main Market Ed.,Paperback,B Format,Paperback,,368,
56963,Fic Non Fic Pic,8/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529045062,EBook,Ebook,,epub,E-Books,MCB High,304,
8205,Presch Brand&Cl,8/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529058291,Book,New Edit/Cover,Board Book,Other,Hardback,,14,
58263,Picador,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529078466,EBook,Ebook,,epub,E-Books,Fiction Low,80,
55284,Fic Non Fic Pic,8/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529011067,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
52461,Picador,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781509839452,Book,Main Market Ed.,Paperback,B Format,Paperback,,320,
C103247161314,Mantle,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529043914,Book,New Edit/Cover,Paperback,B Format,Paperback,,288,
C102831114918,Mantle,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529043884,Book,New Edit/Cover,Paperback,B Format,Paperback,,304,
C103247153603,Mantle,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529043907,Book,New Edit/Cover,Paperback,B Format,Paperback,,288,
56680,Picador,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529045567,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,208,
58629,Tor,8/7/2033,,No,No,,Acquired,Tor,Tor Editor,9781529087963,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
55322,Picador,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529075076,Book,Main Market Ed.,Paperback,B Format,Paperback,,352,
56663,Fic Non Fic Pic,8/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529045338,Audio Digital Download,Main Market Ed.,,WAV format,Audio Download,,,
56009,Mantle,8/7/2033,,No,No,,Acquired,Mantle,Mantle Editor,9781529025064,EBook,Ebook,,epub,E-Books,Fiction Low,368,
C102831124112,Mantle,8/7/2033,,No,No,,Acquired,Picador,Picador Editor,9781529043891,Book,New Edit/Cover,Paperback,B Format,Paperback,,288,
56009,Mantle,8/7/2033,,No,No,,Acquired,Mantle,Mantle Editor,9781529025033,Book,Main Market Ed.,Hardback,Demy,Hardback,,368,
56663,Fic Non Fic Pic,8/7/2033,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781529045314,EBook,Ebook,,"EPUB3, Fixed",Dig Ed Adobe,MCB High,64,
